[engine] Using C++ engine
=== Candidate 4 v5: AlphaZero with Curriculum ===
Device: cuda
Skipping pretrained weights (SKIP_PRETRAIN=1)
Model: 5 res blocks, 64 channels, 1,868,539 params (7.5 MB)
MCTS: 300 sims, 8 VL batch, c_puct=1.5
Self-play: 16 parallel games, 200 max steps
Training: 500 iters, 100 train steps/iter
Curriculum: random → greedy → minimax → self_play, promote at 75%

Resumed from checkpoint at iteration 20
  total_games=321, best_wins=0, phase=random
Iter  64 [  random] | Games:  1028 | R/B/D: 0/0/16 CM:0(0%)x5 | Len: 200 | PL: 2.2260 | VL: 0.0046 | Buf:  20000 | SP: 129s (7.4g/m) | Train: 2s | Elapsed: 7183s
Iter  65 [  random] | Games:  1044 | R/B/D: 0/2/14 CM:2(12%)x5 | Len: 195 | PL: 2.2322 | VL: 0.0070 | Buf:  20000 | SP: 130s (7.4g/m) | Train: 2s | Elapsed: 7315s
Iter  66 [  random] | Games:  1060 | R/B/D: 1/2/13 CM:3(19%)x5 | Len: 181 | PL: 2.2573 | VL: 0.0062 | Buf:  20000 | SP: 126s (7.6g/m) | Train: 1s | Elapsed: 7443s
Iter  67 [  random] | Games:  1076 | R/B/D: 2/1/13 CM:3(19%)x4 | Len: 191 | PL: 2.2740 | VL: 0.0088 | Buf:  20000 | SP: 129s (7.4g/m) | Train: 2s | Elapsed: 7573s
Iter  68 [  random] | Games:  1092 | R/B/D: 1/0/15 CM:1(6%)x5 | Len: 194 | PL: 2.2765 | VL: 0.0055 | Buf:  20000 | SP: 129s (7.5g/m) | Train: 2s | Elapsed: 7704s
Iter  69 [  random] | Games:  1108 | R/B/D: 3/2/11 CM:5(31%)x4 | Len: 176 | PL: 2.2834 | VL: 0.0076 | Buf:  20000 | SP: 128s (7.5g/m) | Train: 1s | Elapsed: 7833s
Iter  70 [  random] | Games:  1124 | R/B/D: 1/3/12 CM:4(25%)x3 | Len: 182 | PL: 2.2832 | VL: 0.0065 | Buf:  20000 | SP: 134s (7.2g/m) | Train: 2s | Elapsed: 7969s
  >> Eval vs random (10g): 0W / 1L / 9D  (Score: 45%)
Iter  71 [  random] | Games:  1140 | R/B/D: 1/0/15 CM:1(6%)x3 | Len: 195 | PL: 2.2820 | VL: 0.0051 | Buf:  20000 | SP: 131s (7.3g/m) | Train: 2s | Elapsed: 8526s
Iter  72 [  random] | Games:  1156 | R/B/D: 3/2/11 CM:5(31%)x3 | Len: 185 | PL: 2.2932 | VL: 0.0104 | Buf:  20000 | SP: 131s (7.3g/m) | Train: 1s | Elapsed: 8658s
Iter  73 [  random] | Games:  1172 | R/B/D: 0/1/15 CM:1(6%)x3 | Len: 196 | PL: 2.2756 | VL: 0.0044 | Buf:  20000 | SP: 130s (7.4g/m) | Train: 1s | Elapsed: 8790s
Iter  74 [  random] | Games:  1188 | R/B/D: 3/3/10 CM:6(38%)x3 | Len: 167 | PL: 2.2907 | VL: 0.0090 | Buf:  20000 | SP: 128s (7.5g/m) | Train: 1s | Elapsed: 8919s
Iter  75 [  random] | Games:  1204 | R/B/D: 2/1/13 CM:3(19%)x2 | Len: 194 | PL: 2.2927 | VL: 0.0106 | Buf:  20000 | SP: 131s (7.3g/m) | Train: 2s | Elapsed: 9052s
Iter  76 [  random] | Games:  1220 | R/B/D: 2/1/13 CM:3(19%)x2 | Len: 198 | PL: 2.3192 | VL: 0.0102 | Buf:  20000 | SP: 136s (7.1g/m) | Train: 2s | Elapsed: 9190s
Iter  77 [  random] | Games:  1236 | R/B/D: 1/2/13 CM:3(19%)x2 | Len: 187 | PL: 2.2994 | VL: 0.0085 | Buf:  20000 | SP: 127s (7.6g/m) | Train: 2s | Elapsed: 9318s
Iter  78 [  random] | Games:  1252 | R/B/D: 1/0/15 CM:1(6%)x2 | Len: 200 | PL: 2.3080 | VL: 0.0059 | Buf:  20000 | SP: 127s (7.6g/m) | Train: 2s | Elapsed: 9447s
Iter  79 [  random] | Games:  1268 | R/B/D: 0/3/13 CM:3(19%)x3 | Len: 186 | PL: 2.3124 | VL: 0.0044 | Buf:  20000 | SP: 128s (7.5g/m) | Train: 2s | Elapsed: 9577s
Iter  80 [  random] | Games:  1284 | R/B/D: 2/1/13 CM:3(19%)x3 | Len: 193 | PL: 2.3343 | VL: 0.0079 | Buf:  20000 | SP: 126s (7.6g/m) | Train: 1s | Elapsed: 9704s
  >> Eval vs random (10g): 0W / 2L / 8D  (Score: 40%)
Iter  81 [  random] | Games:  1300 | R/B/D: 0/1/15 CM:1(6%)x3 | Len: 200 | PL: 2.3447 | VL: 0.0074 | Buf:  20000 | SP: 126s (7.6g/m) | Train: 2s | Elapsed: 10192s
Iter  82 [  random] | Games:  1316 | R/B/D: 3/2/11 CM:5(31%)x3 | Len: 182 | PL: 2.3476 | VL: 0.0060 | Buf:  20000 | SP: 130s (7.4g/m) | Train: 2s | Elapsed: 10324s
Iter  83 [  random] | Games:  1332 | R/B/D: 3/1/12 CM:4(25%)x2 | Len: 191 | PL: 2.3513 | VL: 0.0075 | Buf:  20000 | SP: 127s (7.6g/m) | Train: 2s | Elapsed: 10453s
Iter  84 [  random] | Games:  1348 | R/B/D: 1/1/14 CM:2(12%)x3 | Len: 195 | PL: 2.3429 | VL: 0.0037 | Buf:  20000 | SP: 131s (7.3g/m) | Train: 2s | Elapsed: 10586s
Iter  85 [  random] | Games:  1364 | R/B/D: 3/1/12 CM:4(25%)x3 | Len: 184 | PL: 2.3406 | VL: 0.0057 | Buf:  20000 | SP: 127s (7.6g/m) | Train: 1s | Elapsed: 10714s
Iter  86 [  random] | Games:  1380 | R/B/D: 1/2/13 CM:3(19%)x3 | Len: 187 | PL: 2.3636 | VL: 0.0102 | Buf:  20000 | SP: 129s (7.4g/m) | Train: 1s | Elapsed: 10845s
Iter  87 [  random] | Games:  1396 | R/B/D: 2/1/13 CM:3(19%)x3 | Len: 183 | PL: 2.3464 | VL: 0.0069 | Buf:  20000 | SP: 126s (7.6g/m) | Train: 2s | Elapsed: 10972s
Iter  88 [  random] | Games:  1412 | R/B/D: 1/1/14 CM:2(12%)x3 | Len: 193 | PL: 2.3411 | VL: 0.0053 | Buf:  20000 | SP: 124s (7.7g/m) | Train: 1s | Elapsed: 11098s
