[engine] Using C++ engine
=== Candidate 4: Mini AlphaZero (Single-Process Batched) ===
Device: cuda
Skipping pretrained weights (SKIP_PRETRAIN=1)
Model: 5 res blocks, 64 channels, 1,868,539 params (7.5 MB)
MCTS: 200 sims, 8 VL batch, c_puct=1.5
Self-play: 16 parallel games, 200 max steps, 16 games/iter
Training: 300 iters, 100 train steps/iter

Skipping human buffer seeding (SKIP_PRETRAIN=1)
Iter  70 | Games:  1120 | R/B/D: 5/9/2(D=2) | Len: 200 | PL: 2.9652 | VL: 0.0148 | Buf:  20000 | SP: 147s (6.5g/m) | Train: 1s | Elapsed: 10300s
Iter  71 | Games:  1136 | R/B/D: 5/11/0 | Len: 200 | PL: 2.9612 | VL: 0.0139 | Buf:  20000 | SP: 147s (6.5g/m) | Train: 1s | Elapsed: 10448s
Iter  72 | Games:  1152 | R/B/D: 4/11/1(D=1) | Len: 200 | PL: 2.9455 | VL: 0.0128 | Buf:  20000 | SP: 142s (6.8g/m) | Train: 1s | Elapsed: 10592s
Iter  73 | Games:  1168 | R/B/D: 3/12/1(D=1) | Len: 200 | PL: 2.9410 | VL: 0.0130 | Buf:  20000 | SP: 150s (6.4g/m) | Train: 1s | Elapsed: 10743s
Iter  74 | Games:  1184 | R/B/D: 6/10/0 | Len: 200 | PL: 2.9358 | VL: 0.0117 | Buf:  20000 | SP: 145s (6.6g/m) | Train: 1s | Elapsed: 10889s
Iter  75 | Games:  1200 | R/B/D: 5/10/1(D=1) | Len: 200 | PL: 2.9274 | VL: 0.0118 | Buf:  20000 | SP: 144s (6.7g/m) | Train: 1s | Elapsed: 11034s
  >> Eval vs Random (10g as Red): 5W / 5L / 0D  (Score: 50%)
Iter  76 | Games:  1216 | R/B/D: 5/11/0 | Len: 200 | PL: 2.9202 | VL: 0.0120 | Buf:  20000 | SP: 147s (6.5g/m) | Train: 1s | Elapsed: 11286s
Iter  77 | Games:  1232 | R/B/D: 10/6/0 | Len: 200 | PL: 2.9210 | VL: 0.0168 | Buf:  20000 | SP: 150s (6.4g/m) | Train: 1s | Elapsed: 11437s
Iter  78 | Games:  1248 | R/B/D: 2/12/2(D=2) | Len: 200 | PL: 2.9274 | VL: 0.0120 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 11584s
Iter  79 | Games:  1264 | R/B/D: 6/9/1(D=1) | Len: 200 | PL: 2.9156 | VL: 0.0132 | Buf:  20000 | SP: 144s (6.6g/m) | Train: 1s | Elapsed: 11729s
Iter  80 | Games:  1280 | R/B/D: 4/12/0 | Len: 200 | PL: 2.9130 | VL: 0.0117 | Buf:  20000 | SP: 147s (6.5g/m) | Train: 1s | Elapsed: 11877s
Iter  81 | Games:  1296 | R/B/D: 6/10/0 | Len: 200 | PL: 2.9129 | VL: 0.0147 | Buf:  20000 | SP: 148s (6.5g/m) | Train: 1s | Elapsed: 12027s
Iter  82 | Games:  1312 | R/B/D: 5/11/0 | Len: 200 | PL: 2.9089 | VL: 0.0122 | Buf:  20000 | SP: 148s (6.5g/m) | Train: 1s | Elapsed: 12176s
Iter  83 | Games:  1328 | R/B/D: 5/11/0 | Len: 200 | PL: 2.9060 | VL: 0.0108 | Buf:  20000 | SP: 145s (6.6g/m) | Train: 1s | Elapsed: 12323s
Iter  84 | Games:  1344 | R/B/D: 3/12/1(D=1) | Len: 200 | PL: 2.8818 | VL: 0.0103 | Buf:  20000 | SP: 141s (6.8g/m) | Train: 1s | Elapsed: 12465s
Iter  85 | Games:  1360 | R/B/D: 5/9/2(D=2) | Len: 200 | PL: 2.8929 | VL: 0.0136 | Buf:  20000 | SP: 149s (6.5g/m) | Train: 1s | Elapsed: 12615s
Iter  86 | Games:  1376 | R/B/D: 5/9/2(D=2) | Len: 200 | PL: 2.9001 | VL: 0.0139 | Buf:  20000 | SP: 147s (6.5g/m) | Train: 1s | Elapsed: 12763s
Iter  87 | Games:  1392 | R/B/D: 7/9/0 | Len: 200 | PL: 2.9016 | VL: 0.0132 | Buf:  20000 | SP: 148s (6.5g/m) | Train: 1s | Elapsed: 12912s
Iter  88 | Games:  1408 | R/B/D: 2/14/0 | Len: 200 | PL: 2.8928 | VL: 0.0091 | Buf:  20000 | SP: 145s (6.6g/m) | Train: 1s | Elapsed: 13059s
